subj,trial,block,date,stim,stim_order,response,rt,param_index,segment_time,pitch
Auregan,5,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_181.wav,1,True,4250,5,0.355215,89.293467
Auregan,5,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_181.wav,1,True,4250,6,0.426259,-33.289981
Auregan,6,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_156.wav,0,True,2454,0,0.0,62.995907
Auregan,6,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_156.wav,0,True,2454,1,0.071043,-119.801161
Auregan,6,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_156.wav,0,True,2454,2,0.142086,-125.261471
Auregan,6,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_156.wav,0,True,2454,3,0.213129,110.918732
Auregan,6,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_156.wav,0,True,2454,4,0.284172,-27.635219
Auregan,6,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_156.wav,0,True,2454,5,0.355215,57.92693
Auregan,6,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_156.wav,0,True,2454,6,0.426259,-85.703842
Auregan,6,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_185.wav,1,False,2454,0,0.0,7.537788
Auregan,6,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_185.wav,1,False,2454,1,0.071043,138.761382
Auregan,6,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_185.wav,1,False,2454,2,0.142086,88.970452
Auregan,6,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_185.wav,1,False,2454,3,0.213129,-106.980409
Auregan,6,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_185.wav,1,False,2454,4,0.284172,-72.334155
Auregan,6,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_185.wav,1,False,2454,5,0.355215,87.356426
Auregan,6,0,2025-01-10T15:55:54.204Z,male_vraiment_flat_185.wav,1,False,2454,6,0.426259,90.917936
